Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
ridge_multi_output,{'multioutputregressor__estimator__alpha': 9.0},0.8072,0.9669,0.0953,0.3806
random_forest_multi_output,"{'n_estimators': 959, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9285,0.9848,0.058,0.2577
lgbm_multi_output,"{'n_estimators': 809, 'learning_rate': 0.09933286232088676, 'num_leaves': 52, 'max_depth': 19, 'reg_alpha': 1.1560819765905316e-08, 'reg_lambda': 2.286057382862778e-05}",0.9731,0.9936,0.0356,0.1671
catboost_multi_output,"{'iterations': 950, 'learning_rate': 0.06087460179560403, 'depth': 10, 'l2_leaf_reg': 2.3769214481861884e-08, 'random_strength': 0.28483557439081025}",0.9712,0.9951,0.0368,0.1461
xgboost_multi_output,"{'n_estimators': 756, 'learning_rate': 0.09985059302209992, 'max_depth': 9, 'subsample': 0.6225079074480695, 'colsample_bytree': 0.7479454836949325, 'reg_lambda': 2.976554227898102, 'gamma': 6.153477543377255e-06}",0.9748,0.9949,0.0345,0.1498
random_forest_regressor_chain,"{'n_estimators': 539, 'max_depth': 47, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9284,0.9841,0.0581,0.2636
lgbm_regressor_chain,"{'n_estimators': 852, 'learning_rate': 0.09737499591119711, 'num_leaves': 38, 'max_depth': 11, 'reg_alpha': 1.8310490956164634e-05, 'reg_lambda': 0.0006865890295667106}",0.9714,0.9935,0.0367,0.1683
xgboost_regressor_chain,"{'n_estimators': 996, 'learning_rate': 0.0758882481964633, 'max_depth': 9, 'subsample': 0.7293295823661652, 'colsample_bytree': 0.886945441150073, 'reg_lambda': 7.9247818472595055, 'gamma': 2.8276666672282715e-06}",0.9755,0.9948,0.034,0.1507
random_forest_native,"{'n_estimators': 855, 'max_depth': 40, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8691,0.9842,0.0786,0.2631
knn_native,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",0.8405,0.9623,0.0867,0.4059
catboost_native,"{'iterations': 900, 'learning_rate': 0.09916333143263747, 'depth': 10, 'l2_leaf_reg': 2.500574065569356, 'random_strength': 1.3168043864721756e-07}",0.9518,0.9948,0.0477,0.1512
mlp_native,"{'n_layers': 3, 'layer_size': 79, 'activation': 'relu', 'alpha': 0.0004838895026324503, 'learning_rate_init': 0.0005392526747711291, 'batch_size': 32}",0.9429,0.9936,0.0519,0.1668
